epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,7424.19,1.06325,0.69896,1.22343,0.82607,0.77615,0.80019,0.52618,1.1898,0.81199,1.52169,0.0034264,0.0034264,0.0034264
168,7468.46,1.04922,0.69072,1.2112,0.83151,0.76447,0.79745,0.52966,1.17845,0.82001,1.51083,0.0033868,0.0033868,0.0033868
169,7512.76,1.05482,0.68783,1.21639,0.84105,0.75336,0.7973,0.52697,1.17944,0.80862,1.5151,0.0033472,0.0033472,0.0033472
170,7557,1.05742,0.69039,1.21779,0.82702,0.774,0.7995,0.53327,1.16528,0.79031,1.49825,0.0033076,0.0033076,0.0033076
171,7601.21,1.04134,0.68927,1.21123,0.8311,0.782,0.80172,0.53443,1.15889,0.78827,1.49918,0.003268,0.003268,0.003268
172,7645.31,1.04113,0.68289,1.2118,0.82124,0.79252,0.80184,0.5338,1.16622,0.80239,1.50861,0.0032284,0.0032284,0.0032284
173,7689.55,1.03159,0.67635,1.19846,0.83205,0.76914,0.79872,0.53535,1.15961,0.80835,1.4988,0.0031888,0.0031888,0.0031888
174,7733.82,1.05068,0.69106,1.21566,0.83049,0.76743,0.80036,0.53671,1.15849,0.80371,1.49184,0.0031492,0.0031492,0.0031492
175,7778.1,1.01982,0.66198,1.19509,0.82393,0.77732,0.80136,0.53593,1.15029,0.79621,1.48445,0.0031096,0.0031096,0.0031096
176,7822.18,1.01705,0.66445,1.19924,0.82751,0.78434,0.8014,0.53564,1.14767,0.79404,1.48549,0.00307,0.00307,0.00307
177,7866.26,1.01684,0.66403,1.19737,0.83185,0.78726,0.79865,0.53528,1.15135,0.78372,1.49373,0.0030304,0.0030304,0.0030304
178,7910.39,1.016,0.66957,1.19758,0.83988,0.782,0.79928,0.53945,1.14396,0.78594,1.48664,0.0029908,0.0029908,0.0029908
179,7954.53,1.02195,0.66785,1.19783,0.8342,0.78217,0.79578,0.53492,1.14194,0.78701,1.49231,0.0029512,0.0029512,0.0029512
180,7998.68,1.01863,0.66224,1.19694,0.8488,0.77908,0.8014,0.53927,1.13721,0.79278,1.48157,0.0029116,0.0029116,0.0029116
